pos_x, pos_y, pos_z, pos_yaw, time
-43.839542,5.380528,1.234960,-0.162881,14.916439
-43.692234,5.348113,1.234896,-0.174023,14.931085
-43.544720,5.313970,1.234832,-0.185186,14.946601
-43.397030,5.278091,1.234770,-0.196369,14.961302
-43.249195,5.240468,1.234710,-0.207571,14.976690
-43.101250,5.201093,1.234653,-0.218794,14.992438
-42.953224,5.159956,1.234599,-0.230037,15.009082
-42.805145,5.117051,1.234549,-0.241301,15.023687
-42.657051,5.072370,1.234502,-0.252587,15.039206
-42.508968,5.025906,1.234457,-0.263895,15.056316
-42.360928,4.977652,1.234416,-0.275227,15.071371
-42.212955,4.927600,1.234377,-0.286582,15.088351
-42.212955,4.927600,1.234377,-0.286582,15.102211
-42.065083,4.875746,1.234340,-0.297962,15.117378
-41.917339,4.822084,1.234305,-0.309367,15.133398
-41.769749,4.766606,1.234271,-0.320800,15.148937
-41.622337,4.709308,1.234238,-0.332259,15.164504
-41.475140,4.650184,1.234206,-0.343746,15.180022
-41.328175,4.589230,1.234174,-0.355262,15.194677
-41.181469,4.526438,1.234141,-0.366807,15.210161
-41.035049,4.461805,1.234109,-0.378382,15.226061
-40.888939,4.395326,1.234077,-0.389987,15.240707
-40.743172,4.326996,1.234044,-0.401623,15.256773
-40.597649,4.256753,1.234012,-0.413298,15.271798
-40.452629,4.184707,1.233979,-0.424995,15.288331
-40.452629,4.184707,1.233979,-0.424995,15.303691
-40.308022,4.110797,1.233946,-0.436723,15.318199
-40.163853,4.035019,1.233913,-0.448482,15.335260
-40.020149,3.957370,1.233881,-0.460272,15.351402
-39.876930,3.877846,1.233850,-0.472092,15.366417
-39.734230,3.796444,1.233819,-0.483943,15.380264
-39.592068,3.713161,1.233790,-0.495823,15.395710
-39.450413,3.627959,1.233763,-0.507738,15.411418
-39.309406,3.540908,1.233737,-0.519677,15.426845
-39.169022,3.451970,1.233714,-0.531645,15.442164
-39.029282,3.361144,1.233693,-0.543640,15.456937
-38.890217,3.268430,1.233674,-0.555663,15.473746
-38.751850,3.173828,1.233658,-0.567713,15.488282
-38.751850,3.173828,1.233658,-0.567713,15.503295
-38.614208,3.077337,1.233645,-0.579788,15.518641
-38.477325,2.978959,1.233634,-0.591889,15.534299
-38.341228,2.878695,1.233627,-0.604014,15.550468
-38.205940,2.776549,1.233622,-0.616163,15.566456
-38.071495,2.672521,1.233621,-0.628335,15.582399
-37.937923,2.566616,1.233622,-0.640530,15.597918
-37.805248,2.458838,1.233625,-0.652746,15.613080
-37.673504,2.349191,1.233631,-0.664983,15.628342
-37.673504,2.349191,1.233631,-0.664983,15.643095
-37.673504,2.349191,1.233631,-0.664983,15.658220
-37.413071,2.124435,1.233653,-0.689500,15.674364
-37.284698,2.009568,1.233677,-0.701745,15.688929
-37.284698,2.009568,1.233677,-0.701745,15.705017
-37.032452,1.775318,1.233101,-0.726693,15.721271
-36.907978,1.656673,1.232872,-0.739102,15.735389
-36.785179,1.536549,1.232702,-0.751437,15.750525
-36.664089,1.415035,1.232591,-0.763698,15.766536
-36.544708,1.292162,1.232534,-0.775899,15.783132
-36.427036,1.167957,1.232527,-0.788055,15.798489
-36.311081,1.042449,1.232565,-0.800174,15.814527
-36.196842,0.915664,1.232642,-0.812265,15.830016
-36.084320,0.787630,1.232753,-0.824336,15.845121
-35.973522,0.658368,1.232892,-0.836390,15.860315
-35.864449,0.527903,1.233055,-0.848431,15.876626
-35.757107,0.396258,1.233236,-0.860461,15.892562
-35.651508,0.263456,1.233430,-0.872482,15.907119
-35.547649,0.129517,1.233632,-0.884494,15.924119
-35.445545,-0.005536,1.233838,-0.896496,15.939268
-35.445545,-0.005536,1.233838,-0.896496,15.954004
-35.345200,-0.141684,1.234045,-0.908489,15.971127
-35.246620,-0.278902,1.234249,-0.920469,15.986135
-35.149815,-0.417169,1.234446,-0.932438,16.000451
-35.054790,-0.556461,1.234634,-0.944396,16.016140
-34.960388,-0.696138,1.234821,-0.955342,16.031156
-34.865910,-0.835779,1.235010,-0.964657,16.046363
-34.771076,-0.975193,1.235201,-0.972134,16.061609
-34.675865,-1.114342,1.235392,-0.977838,16.077155
-34.580410,-1.253295,1.235577,-0.982018,16.092857
-34.484955,-1.392198,1.235748,-0.985042,16.107419
-34.389679,-1.531157,1.235900,-0.987234,16.123506
-34.294601,-1.670175,1.236030,-0.988761,16.139041
-34.294601,-1.670175,1.236030,-0.988761,16.154741
-34.199512,-1.809388,1.236137,-0.989686,16.169277
-34.104538,-1.948307,1.236220,-0.989999,16.185097
-34.009113,-2.087374,1.236278,-0.989641,16.200746
-33.913563,-2.225698,1.236314,-0.988529,16.216270
-33.817421,-2.363486,1.236327,-0.986550,16.232290
-33.720467,-2.500554,1.236318,-0.983575,16.246840
-33.622589,-2.636792,1.236289,-0.979589,16.262384
-33.523697,-2.772095,1.236239,-0.974592,16.278551
-33.423676,-2.906327,1.236170,-0.968570,16.292612
-33.322388,-3.039328,1.236083,-0.961493,16.309123
-33.219780,-3.171364,1.235980,-0.953543,16.324590
-33.116230,-3.302062,1.235863,-0.944914,16.340289
-33.116230,-3.302062,1.235863,-0.935729,16.355438
-33.011616,-3.431638,1.235736,-0.935729,16.371105
-32.905949,-3.560089,1.235601,-0.926103,16.386660
-32.799244,-3.687404,1.235464,-0.916128,16.402273
-32.691494,-3.813566,1.235328,-0.905878,16.416470
-32.582703,-3.938552,1.235197,-0.895414,16.431530
-32.472862,-4.062340,1.235075,-0.884782,16.447038
-32.361969,-4.184904,1.234964,-0.874019,16.462574
-32.250019,-4.306217,1.234868,-0.863155,16.478111
-32.137005,-4.426256,1.234788,-0.852209,16.493732
-32.022930,-4.544992,1.234726,-0.841198,16.510277
-31.907785,-4.662401,1.234681,-0.830134,16.524240
